CustomerID,Recency,Frequency,MonetaryValue,R_Score,F_Score,M_Score,RFM_Score_Total,RFM_Segment
12346,347,12,77556.46,2,4,4,244,03 - Loyal Customers
12347,24,8,5633.32,4,4,4,444,01 - Champions
12348,97,5,2019.3999999999999,3,3,3,333,03 - Loyal Customers
12349,40,4,4428.6900000000005,4,3,4,434,02 - Potential Loyalists
12350,332,1,334.40000000000003,2,1,1,211,04 - At Risk
12351,397,1,300.93,2,1,1,211,04 - At Risk
12352,58,10,2849.84,3,4,4,344,03 - Loyal Customers
12353,226,2,406.76,2,2,2,222,04 - At Risk
12354,254,1,1079.4,2,1,3,213,06 - Others / Need Attention
12355,236,2,947.61,2,2,3,223,06 - Others / Need Attention
12356,44,6,6373.68,4,3,4,434,02 - Potential Loyalists
12357,55,3,18287.66,3,2,4,324,06 - Others / Need Attention
12358,23,5,3887.07,4,3,4,434,02 - Potential Loyalists
12359,79,10,8935.94,3,4,4,344,03 - Loyal Customers
12360,74,8,4252.89,3,4,4,344,03 - Loyal Customers
12361,309,4,511.25,2,3,2,232,06 - Others / Need Attention
12362,25,11,5356.2300000000005,4,4,4,444,01 - Champions
12363,131,2,552.0,2,2,2,222,04 - At Risk
12364,29,4,1313.1,4,3,3,433,02 - Potential Loyalists
12365,313,2,641.38,2,2,2,222,04 - At Risk
12366,655,1,500.24,1,1,2,112,04 - At Risk
12367,26,1,168.9,4,1,1,411,06 - Others / Need Attention
12368,650,1,917.7,1,1,3,113,06 - Others / Need Attention
12369,435,3,1791.15,1,2,3,123,06 - Others / Need Attention
12370,73,7,4320.31,3,3,4,334,03 - Loyal Customers
12371,66,5,4067.38,3,3,4,334,03 - Loyal Customers
12372,93,3,1298.04,3,2,3,323,06 - Others / Need Attention
12373,333,3,1127.65,2,2,3,223,06 - Others / Need Attention
12374,47,4,2989.2200000000003,4,3,4,434,02 - Potential Loyalists
12375,32,2,457.5,4,2,2,422,06 - Others / Need Attention
12376,411,2,503.15,1,2,2,122,04 - At Risk
12377,337,4,3426.32,2,3,4,234,03 - Loyal Customers
12378,151,2,5416.32,2,2,4,224,06 - Others / Need Attention
12379,103,4,1620.22,3,3,3,333,03 - Loyal Customers
12380,43,11,9676.300000000001,4,4,4,444,01 - Champions
12381,26,5,1845.31,4,3,3,433,02 - Potential Loyalists
12383,206,5,1850.56,2,3,3,233,03 - Loyal Customers
12384,50,2,585.27,3,2,2,322,06 - Others / Need Attention
12385,401,1,1938.4,2,1,3,213,06 - Others / Need Attention
12386,359,2,660.8000000000001,2,2,2,222,04 - At Risk
12387,437,1,143.94,1,1,1,111,04 - At Risk
12388,37,8,3901.11,4,4,4,444,01 - Champions
12389,424,3,1433.33,1,2,3,123,06 - Others / Need Attention
12390,101,1,549.84,3,1,2,312,06 - Others / Need Attention
12391,43,6,2773.42,4,3,4,434,02 - Potential Loyalists
12392,613,1,234.75000000000003,1,1,1,111,04 - At Risk
12393,94,6,2399.45,3,3,4,334,03 - Loyal Customers
12394,85,2,1272.48,3,2,3,323,06 - Others / Need Attention
12395,41,15,5067.27,4,4,4,444,01 - Champions
12396,696,1,931.4300000000001,1,1,3,113,06 - Others / Need Attention
12397,57,2,2409.9,3,2,4,324,06 - Others / Need Attention
12398,67,1,1635.6599999999999,3,1,3,313,06 - Others / Need Attention
12399,141,7,1962.3,2,3,3,233,03 - Loyal Customers
12400,436,1,205.25,1,1,1,111,04 - At Risk
12401,325,1,84.3,2,1,1,211,04 - At Risk
12402,345,6,1256.9,2,3,3,233,03 - Loyal Customers
12403,71,2,1019.36,3,2,3,323,06 - Others / Need Attention
12404,704,1,63.24,1,1,1,111,04 - At Risk
12405,170,1,1710.39,2,1,3,213,06 - Others / Need Attention
12406,44,5,6390.36,4,3,4,434,02 - Potential Loyalists
12407,71,5,1708.12,3,3,3,333,03 - Loyal Customers
12408,54,8,4340.77,3,4,4,344,03 - Loyal Customers
12409,100,7,23419.29,3,3,4,334,03 - Loyal Customers
12410,330,3,1013.71,2,2,3,223,06 - Others / Need Attention
12411,431,1,346.9,1,1,1,111,04 - At Risk
12412,96,6,2596.93,3,3,4,334,03 - Loyal Customers
12413,88,4,999.45,3,3,3,333,03 - Loyal Customers
12414,239,6,952.4100000000001,2,3,3,233,03 - Loyal Customers
12415,46,28,144458.37,4,4,4,444,01 - Champions
12416,678,1,202.56,1,1,1,111,04 - At Risk
12417,25,20,6816.91,4,4,4,444,01 - Champions
12418,134,4,2021.2,2,3,3,233,03 - Loyal Customers
12419,407,2,503.01,1,2,2,122,04 - At Risk
12420,85,1,600.39,3,1,2,312,06 - Others / Need Attention
12421,37,6,1098.6,4,3,3,433,02 - Potential Loyalists
12422,117,17,5231.8,3,4,4,344,03 - Loyal Customers
12423,22,10,2622.39,4,4,4,444,01 - Champions
12424,184,4,3340.0299999999997,2,3,4,234,03 - Loyal Customers
12425,100,2,1741.41,3,2,3,323,06 - Others / Need Attention
12426,216,2,1345.21,2,2,3,223,06 - Others / Need Attention
12427,43,3,1129.3,4,2,3,423,06 - Others / Need Attention
12428,47,9,7956.46,4,4,4,444,01 - Champions
12429,31,8,7485.91,4,4,4,444,01 - Champions
12430,65,1,256.4,3,1,1,311,06 - Others / Need Attention
12431,57,27,10857.970000000001,3,4,4,344,03 - Loyal Customers
12432,64,5,5059.32,3,3,4,334,03 - Loyal Customers
12433,22,10,20581.260000000002,4,4,4,444,01 - Champions
12434,106,3,1103.43,3,2,3,323,06 - Others / Need Attention
12435,101,6,13925.93,3,3,4,334,03 - Loyal Customers
12436,121,1,509.01,2,1,2,212,04 - At Risk
12437,23,39,12683.4,4,4,4,444,01 - Champions
12438,36,2,2906.85,4,2,4,424,06 - Others / Need Attention
12439,704,2,1158.18,1,2,3,123,06 - Others / Need Attention
12440,484,2,859.2,1,2,2,122,04 - At Risk
12441,388,1,347.1,2,1,1,211,04 - At Risk
12442,25,1,172.06,4,1,1,411,06 - Others / Need Attention
12443,754,1,485.31,1,1,2,112,04 - At Risk
12444,43,5,5005.46,4,3,4,434,02 - Potential Loyalists
12445,44,2,434.98,4,2,2,422,06 - Others / Need Attention
12446,79,1,1002.3100000000001,3,1,3,313,06 - Others / Need Attention
12447,265,1,476.49,2,1,2,212,04 - At Risk
12448,66,1,449.45,3,1,2,312,06 - Others / Need Attention
12449,44,6,4835.89,4,3,4,434,02 - Potential Loyalists
12450,178,5,688.2,2,3,2,232,06 - Others / Need Attention
12451,32,8,12669.88,4,4,4,444,01 - Champions
12452,38,2,430.57000000000005,4,2,2,422,06 - Others / Need Attention
12453,156,1,707.09,2,1,2,212,04 - At Risk
12454,78,5,16679.78,3,3,4,334,03 - Loyal Customers
12455,95,10,5879.95,3,4,4,344,03 - Loyal Customers
12456,66,3,3181.04,3,2,4,324,06 - Others / Need Attention
12457,88,8,2995.91,3,4,4,344,03 - Loyal Customers
12458,93,4,1777.49,3,3,3,333,03 - Loyal Customers
12459,627,1,454.36,1,1,2,112,04 - At Risk
12460,478,1,326.65,1,1,1,111,04 - At Risk
12461,116,2,826.88,3,2,2,322,06 - Others / Need Attention
12462,40,2,1189.59,4,2,3,423,06 - Others / Need Attention
12463,75,4,1344.78,3,3,3,333,03 - Loyal Customers
12464,32,8,1212.05,4,4,3,443,02 - Potential Loyalists
12465,39,2,742.19,4,2,2,422,06 - Others / Need Attention
12466,704,1,56.73,1,1,1,111,04 - At Risk
12467,445,1,132.8,1,1,1,111,04 - At Risk
12468,209,5,3670.7400000000002,2,3,4,234,03 - Loyal Customers
12469,544,2,3070.54,1,2,4,124,06 - Others / Need Attention
12470,711,1,211.95,1,1,1,111,04 - At Risk
12471,24,79,39963.79,4,4,4,444,01 - Champions
12472,54,19,17880.59,3,4,4,344,03 - Loyal Customers
12473,51,5,3938.55,3,3,4,334,03 - Loyal Customers
12474,39,31,12424.45,4,4,4,444,01 - Champions
12475,75,2,1149.64,3,2,3,323,06 - Others / Need Attention
12476,37,23,14115.41,4,4,4,444,01 - Champions
12477,44,9,20276.37,4,4,4,444,01 - Champions
12478,25,1,680.99,4,1,2,412,06 - Others / Need Attention
12479,33,1,527.2,4,1,2,412,06 - Others / Need Attention
12480,50,7,5464.85,3,3,4,334,03 - Loyal Customers
12481,44,15,12361.39,4,4,4,444,01 - Champions
12482,598,29,23691.4,1,4,4,144,06 - Others / Need Attention
